componentName,quantity
15 CAST IRON FP BV BODY 3P,0
15 CF8M FP BV FL 3PD BODY,86
20 CF8M FP BV FL 3PD BODY,58
25 CF8M FP BV FL 3PD BODY,108
40 CF8M FP BV FL 3PD BODY,39
50 CF8M FP BV FL 3PD BODY,7
65 CF8M FP BV FL 3PD BODY,2
80 CF8M FP BV FL 3PD BODY,2
100 CF8M FP BV FL 3PD BODY,0
15 CF8M FP BV FL 3PD ENDPIECE,0
20 CF8M FP BV FL 3PD ENDPIECE,0
25 CF8M FP BV FL 3PD ENDPIECE,0
40 CF8M FP BV FL 3PD ENDPIECE,0
50 CF8M FP BV FL 3PD ENDPIECE,0
65 CF8M FP BV FL 3PD ENDPIECE,4
80 CF8M FP BV FL 3PD ENDPIECE,4
100 CF8M FP BV FL 3PD ENDPIECE,0
15 CF8M FP BV SC 3PD ENDPIECE,6
20 CF8M FP BV SC 3PD ENDPIECE,0
25 CF8M FP BV SC 3PD ENDPIECE,28
40 CF8M FP BV SC 3PD ENDPIECE,0
50 CF8M FP BV SC 3PD ENDPIECE,1
15 CF8M FP BV SC IPD BODY,14
20 CF8M FP BV SC IPD BODY,11
25 CF8M FP BV SC IPD BODY,5
15 CF8M FP BV SC IPD ENDCOVER,14
20 CF8M FP BV SC IPD ENDCOVER,11
25 CF8M FP BV SC IPD ENDCOVER,8
15 CF8M FP BV FL2PD BODY,150
20 CF8M FP BV FL2PD BODY,6
25 CF8M FP BV FL2PD BODY,0
40 CF8M FP BV FL2PD BODY,1
25 CF8M FP 2P D TANK BOTTOM BODY,0
40 CF8M FP 2P D TANK BOTTOM BODY,1
50 CF8M FP 2P D TANK BOTTOM BODY,26
65 CF8M FP 2P D TANK BOTTOM BODY,0
80 CF8M FP 2P D TANK BOTTOM BODY,20
40 CF8M TANK BOTTOM E.COVER,9
50 CF8M TANK BOTTOM E.COVER,44
65 CF8M TANK BOTTOM E.COVER,0
80 CF8M TANK BOTTOM E.COVER,15
50 CF8M FP BV FL2PD BODY,40
80 CF8M FP BV FL2PD BODY,11
100 CF8M FP BV FL2PD BODY,13
150 CF8M FP BV FL2PD BODY,0
25 CF8M FP BV FL2PD BODY CLASS 300,5
50 CF8M FP BV FL2PD BODY CLASS 300,0
100 CF8M FP BV FL2PD BODY CLASS 300,0
25 CF8M RP BV FL 2PD BODY,6
40 CF8M RP BV FL 2PD BODY,0
50 CF8M RP BV FL 2PD BODY,1
15 CF8M FP BV FL2PD ENDPIECE,125
20 CF8M FP BV FL2PD ENDPIECE,6
25 CF8M FP BV FL2PD ENDPIECE,0
40 CF8M FP BV FL2PD ENDPIECE,1
50 CF8M FP BV FL2PD ENDPIECE,48
80 CF8M FP BV FL2PD ENDPIECE,11
100 CF8M FP BV FL2PD ENDPIECE,13
150 CF8M FP BV FL2PD ENDPIECE,0
25 CF8M FP BV FL2PD E.P CLASS 300,5
50 CF8M FP BV FL2PD E.P CLASS 300,0
100 CF8M FP BV FL2PD E.P CLASS 300,0
25 CF8M RP BV FL 2PD ENDPIECE,6
40 CF8M RP BV FL 2PD ENDPIECE,0
50 CF8M RP BV FL 2PD ENDPIECE,1
80 CF8MRP BV CL 150 TPD ENDPI ECE,1
15 CF8 FP BV FL 3PD BODY,0
20 CF8 FP BV FL 3PD BODY,0
20 CF8 FP BV FL 3PD BODY MEENA,1
25 CF8 FP BV FL 3PD BODY,93
25 CF8 FP BV FL 3PD BODY MEENA,0
40 CF8 FP BV FL 3PD BODY,4
50 CF8 FP BV FL 3PD BODY,1
65 CF8 FP BV FL 3PD BODY,0
80 CF8 FP BV FL 3PD BODY,0
100 CF8 FP BV FL 3PD BODY,0
